# of Segment,from sec,to sec,from TR (TR=1 is at time21sec of theaudio file),to TR,duration (sec),duration (TRs),Difference in Beliefs ratings (1-5),,,,,Difference in Emotions ratings (1-5),,,,,Difference in Intentions ratings (1-5),,,,
,,,,,,,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY
102,378.5,381.8,253,255,3.3,3,1,4,1,3,1,1,3,1,3,1,1,2,1,3,1
103,381.8,384.4,256,256,2.6,1,4,4,3,3,1,5,4,2,4,3,3,1,3,3,2
104,384.4,390.7,257,260,6.3,4,5,4,5,5,5,5,4,4,5,5,4,5,5,5,5
105,390.7,399.8,261,267,9.1,7,4,3,5,2,5,4,4,5,3,2,5,5,5,4,5
106,399.8,403.4,268,269,3.6,2,5,5,5,5,5,4,4,5,5,1,5,5,5,5,5
107,403.4,407.6,270,272,4.2,3,3,4,2,2,1,3,3,2,3,1,3,5,2,3,1
108,407.6,411,273,274,3.4,2,1,5,1,2,1,1,3,1,2,1,1,1,1,2,1
109,411,415,275,277,4,3,1,1,2,2,1,1,2,3,2,1,1,1,1,2,1
110,415,417.9,278,279,2.9,2,1,5,1,5,1,5,4,1,5,5,1,3,1,3,1
111,417.9,418.8,280,279,0.9,0,1,5,1,5,1,5,4,1,5,5,1,3,1,3,1
112,418.8,425.6,280,284,6.8,5,4,5,5,3,1,5,5,5,5,5,3,4,2,3,1
113,425.6,427.6,285,285,2,1,4,5,5,3,1,5,5,5,5,5,3,4,2,3,3
114,427.6,430.9,286,287,3.3,2,1,5,1,3,1,3,3,1,5,3,1,3,1,3,1
115,430.9,432.2,288,288,1.3,1,1,5,1,3,1,3,3,1,4,1,1,3,1,3,1
116,432.2,436.2,289,291,4,3,1,5,1,3,1,1,4,1,4,3,1,3,1,3,1
117,436.2,437.1,292,291,0.9,0,1,5,1,3,1,3,5,1,4,3,1,3,1,3,1
118,437.1,438.6,292,292,1.5,1,5,4,5,4,5,5,5,4,4,2,5,2,5,3,5
119,438.6,445.5,293,297,6.9,5,5,5,5,4,5,5,5,5,4,2,5,5,5,3,5
120,445.5,448.8,298,299,3.3,2,4,5,5,4,5,4,5,4,4,2,4,5,5,3,5
121,448.8,454,300,303,5.2,4,5,5,5,2,5,5,5,5,4,2,5,5,5,3,5
122,454,460.3,304,307,6.3,4,5,5,5,2,5,5,4,5,4,2,5,5,5,3,5
123,460.3,462.4,308,308,2.1,1,4,5,4,1,5,4,5,4,4,2,4,5,4,3,5
124,462.4,467.2,309,311,4.8,3,1,5,1,1,1,1,3,1,2,2,1,2,1,1,1
125,467.2,471.1,312,314,3.9,3,5,5,5,2,5,5,5,5,2,2,5,5,5,1,5
126,471.1,478.6,315,319,7.5,5,5,4,5,2,3,5,5,5,2,1,5,2,5,2,3
